GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing
CLUEbenchmark/CLUE,Y,964,457,47555,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CLUEbenchmark/CLUE/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,The author of the project reply to only some of the issues,"There are multiple license files found in models folder such as bert, ernie and bert_wwm.ext",There are many files related to testing specifically 1-2 for each model
cmu-db/ottertune,Y,977,379,14175,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cmu-db/ottertune/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/cmu-db/ottertune/issues/347 and https://github.com/cmu-db/ottertune/issues/412",https://github.com/cmu-db/ottertune/blob/master/LICENSE is provided.,There are many files related to testing
cmusatyalab/OpenTPOD,Y,100,219,1774,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project,There is a well-maintained documentation,Evidence of sustained commit activity but not stable,"Only 1 issue raised by users, the rest raised by author and he/she do reply/closes them",https://github.com/cmusatyalab/OpenTPOD/blob/master/LICENSE is provided.,Only 1 test file
colearninglounge/co-learning-lounge,N,322,222,13776,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/colearninglounge/co-learning-lounge/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained documentation,Evidence of sustained commit activity but not stable,Open issues more than closed,"There is no license to be found, either in the form of a license file or written inside the source code file.","There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks"
commaai/openpilot,Y,15419,1248,29861,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/commaai/openpilot/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/commaai/openpilot/issues/1829 and https://github.com/commaai/openpilot/issues/1835",https://github.com/commaai/openpilot/blob/master/LICENSE is provided.,There are many files related to testing
ConvLab/ConvLab,Y,285,501,36878,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ConvLab/ConvLab/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Some of the functions are documented,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/ConvLab/ConvLab/issues/64 and https://github.com/ConvLab/ConvLab/issues/54.",https://github.com/ConvLab/ConvLab/blob/master/LICENSE is provided.,There are files related to testing but all over the place
CorentinJ/Real-Time-Voice-Cloning,Y,18087,253,5650,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CorentinJ/Real-Time-Voice-Cloning/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity until June,"The project maintainers respond to issues, as evidenced by https://github.com/CorentinJ/Real-Time-Voice-Cloning/issues/392 and https://github.com/CorentinJ/Real-Time-Voice-Cloning/issues/337.",https://github.com/CorentinJ/Real-Time-Voice-Cloning/blob/master/LICENSE.txt is provided.,There is no evidence of any testing done on the project.
cornellius-gp/gpytorch,Y,1983,2922,30013,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornellius-gp/gpytorch/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,There is a well maintained README,Checking https://github.com/cornellius-gp/gpytorch/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/cornellius-gp/gpytorch/issues/1188 and https://github.com/cornellius-gp/gpytorch/issues/1184",https://github.com/cornellius-gp/gpytorch/blob/master/LICENSE is provided.,There are many files related to testing.
CornellNLP/Cornell-Conversational-Analysis-Toolkit,Y,178,952,12005,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/39 and https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/33.",https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/blob/master/LICENSE.md is provided.,"There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks"
cornell-zhang/heterocl,Y,113,326,30630,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornell-zhang/heterocl/graphs/contributors shows that there are multiple contributors.,The project uses CircleCI to test their build and codes,There is a well maintained README,The project only has 11 commits in the past month.,The project maintainer only replied to selected few issues,https://github.com/cornell-zhang/heterocl/blob/master/LICENSE is provided.,There are many files related to testing.
cortexlabs/cortex,Y,5269,1376,11021,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cortexlabs/cortex/graphs/contributors shows that there are multiple contributors.,The project uses CircleCI to test their build and codes,"There is a well maintained README at https://github.com/cortexlabs/cortex/tree/master/examples/keras/document-denoiser , https://github.com/cortexlabs/cortex/tree/master/examples/onnx/multi-model-classifier and https://github.com/cortexlabs/cortex/tree/master/examples/tensorflow/image-classifier-resnet50",Checking https://github.com/cortexlabs/cortex/pulse/monthly there has been significant commit activity in the past month.,The project maintainer only replied to selected few issues,https://github.com/cortexlabs/cortex/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
cpnota/autonomous-learning-library,Y,352,182,6898,The source code of the project exists as ad-hoc scripts.,https://github.com/cpnota/autonomous-learning-library/graphs/contributors shows that there are a handful (4) of contributors. ,The project hardly uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/cpnota/autonomous-learning-library/pulse/monthly there has been significant commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.
creme-ml/creme,Y,818,1238,21295,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/creme-ml/creme/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/creme-ml/creme/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/creme-ml/creme/issues/302",https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There are many files related to testing.
CyberZHG/keras-bert,Y,1747,135,2374,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CyberZHG/keras-bert/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The author of the project does not reply to issues, almost all issues are closed by bot",https://github.com/CyberZHG/keras-bert/blob/master/LICENSE is provided.,There are many files related to testing.
DagnyT/hardnet,N,303,100,4265,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DagnyT/hardnet/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Some of the functions are documented,No evidence of sustained commit activity,"The project maintainers respond to issues, but mainly not resolved as there's no response from users",https://github.com/DagnyT/hardnet/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
danielegrattarola/spektral,Y,807,287,7627,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README at https://github.com/danielegrattarola/spektral/blob/master/spektral/datasets/citation.py,Checking https://github.com/danielegrattarola/spektral/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielegrattarola/spektral/issues/69, https://github.com/danielegrattarola/spektral/issues/68",https://github.com/danielegrattarola/spektral/blob/master/LICENSE is provided,There are many files related to testing.
danielhanchen/hyperlearn,N,1166,204,5557,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors only has 2 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/danielhanchen/hyperlearn/pulse/monthly there has only been 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielhanchen/hyperlearn/issues/20",https://github.com/danielhanchen/hyperlearn/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.
databricks/spark-deep-learning,Y,1725,127,234,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/databricks/spark-deep-learning/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/databricks/spark-deep-learning/blob/master/dev/run.py,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/databricks/spark-deep-learning/issues/226",https://github.com/databricks/spark-deep-learning/blob/master/LICENSE is provided,There are many files related to testing.
datamllab/rlcard,Y,652,618,13450,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/datamllab/rlcard/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README at https://github.com/datamllab/rlcard/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/datamllab/rlcard/issues/154 and https://github.com/datamllab/rlcard/issues/153",https://github.com/datamllab/rlcard/blob/master/LICENSE.md is provided,There are many files related to testing.
data-science-on-aws/workshop,N,142,1115,145801,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/data-science-on-aws/workshop/graphs/contributors only has 3 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/data-science-on-aws/workshop/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,"There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.
ddbourgin/numpy-ml,Y,8741,312,16012,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ddbourgin/numpy-ml/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,"There is a well maintained README at https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml, https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml/utils, https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml/trees",There is 1 commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/ddbourgin/numpy-ml/issues/49",https://github.com/ddbourgin/numpy-ml/blob/master/LICENSE is provided,There are many files related to testing.
deepchem/deepchem,Y,2180,4662,60118,The source code of the project exists as ad-hoc scripts.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepchem/deepchem/tree/master/docs,Checking https://github.com/deepchem/deepchem/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepchem/deepchem/issues/1975",https://github.com/deepchem/deepchem/blob/master/LICENSE is provided,There are a few files related to testing.
deepfakes/faceswap,Y,31057,1112,31280,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepfakes/faceswap/tree/master/docs,Checking https://github.com/deepfakes/faceswap/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepfakes/faceswap/issues/985",https://github.com/deepfakes/faceswap/blob/master/LICENSE is provided,There are many files related to testing.
deepmedic/deepmedic,Y,704,500,5935,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmedic/deepmedic/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained documentation at https://github.com/deepmedic/deepmedic/tree/master/documentation,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmedic/deepmedic/issues/177",https://github.com/deepmedic/deepmedic/blob/master/LICENSE.txt is provided,There are a few files related to testing.
deepmind/dm-haiku,Y,618,309,15006,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/dm-haiku/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepmind/dm-haiku/tree/master/docs and README at https://github.com/deepmind/dm-haiku/blob/master/haiku/experimental.py and https://github.com/deepmind/dm-haiku/blob/master/haiku/initializers.py,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/dm-haiku/issues/55",https://github.com/deepmind/dm-haiku/blob/master/LICENSE is provided,There are a few files related to testing.
deepmind/open_spiel,Y,2217,1022,25600,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/open_spiel/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained documentation at https://github.com/deepmind/open_spiel/tree/master/docs , https://github.com/deepmind/open_spiel/tree/master/swift and majority of the functions at https://github.com/deepmind/open_spiel/blob/master/open_spiel/scripts/install.sh",Checking https://github.com/deepmind/open_spiel/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/open_spiel/issues/292 and https://github.com/deepmind/open_spiel/issues/291",https://github.com/deepmind/open_spiel/blob/master/LICENSE is provided,There are a few files related to testing.
deepmind/sonnet,Y,8391,814,13518,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/sonnet/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/deepmind/sonnet/tree/v2/docs,Checking https://github.com/deepmind/sonnet/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/sonnet/issues/172",https://github.com/deepmind/sonnet/blob/v2/LICENSE is provided,There are a few files related to testing.
deepmipt/DeepPavlov,Y,4365,2531,34675,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmipt/DeepPavlov/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deepmipt/DeepPavlov/blob/master/deeppavlov/evolve.py,Checking https://github.com/deepmipt/DeepPavlov/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmipt/DeepPavlov/issues/1265",https://github.com/deepmipt/DeepPavlov/blob/master/LICENSE is provided,There are many files related to testing.
deepset-ai/FARM,Y,797,405,16304,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepset-ai/FARM/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deepset-ai/FARM/blob/master/farm/train.py,Checking https://github.com/deepset-ai/FARM/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepset-ai/FARM/issues/404 and https://github.com/deepset-ai/FARM/issues/385",https://github.com/deepset-ai/FARM/blob/master/LICENSE is provided,There are many files related to testing.
deezer/spleeter,Y,12388,257,2404,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deezer/spleeter/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deezer/spleeter/blob/master/spleeter/__main__.py,Checking https://github.com/deezer/spleeter/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deezer/spleeter/issues/418 and https://github.com/deezer/spleeter/issues/415",https://github.com/deezer/spleeter/blob/master/LICENSE is provided,There are many files related to testing.
determined-ai/determined,Y,456,883,42387,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/determined-ai/determined/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://docs.determined.ai/latest/,Checking https://github.com/determined-ai/determined/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,https://github.com/determined-ai/determined/blob/master/LICENSE is provided,There are many files related to testing.
digantamisra98/Mish,N,810,1681,1642,The source code of the project exists as ad-hoc scripts.,https://github.com/determined-ai/determined/graphs/contributors shows that there are only 3 contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/digantamisra98/Mish/blob/master/Mish/Torch/functional.py,Checking https://github.com/digantamisra98/Mish/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/digantamisra98/Mish/issues/34",https://github.com/digantamisra98/Mish/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.
DigitalSlideArchive/HistomicsTK,Y,142,2732,11165,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DigitalSlideArchive/HistomicsTK/graphs/contributors shows that there are multiple contributors,The project uses various CI services,There is a well-maintained documentation,No evidence of sustained commit activity for May and June with 2 commits each,"The project maintainers respond to issues, as evidenced by https://github.com/DigitalSlideArchive/HistomicsTK/issues/869 and https://github.com/DigitalSlideArchive/HistomicsTK/issues/867.",https://github.com/DigitalSlideArchive/HistomicsTK/blob/master/LICENSE is provided.,There are many files related to testing.
DLR-RM/stable-baselines3,Y,438,410,9226,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DLR-RM/stable-baselines3/graphs/contributors shows that there are multiple contributors,The project uses Gitlab CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DLR-RM/stable-baselines3/issues/37 and https://github.com/DLR-RM/stable-baselines3/issues/76.",https://github.com/DLR-RM/stable-baselines3/blob/master/LICENSE is provided.,There are many files related to testing.
dmlc/dgl,Y,5053,1028,80605,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/dmlc/dgl/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/dmlc/dgl/blob/master/python/dgl/convert.py and https://github.com/dmlc/dgl/blob/master/python/dgl/view.py,Checking https://github.com/dmlc/dgl/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dmlc/dgl/issues/1743 and https://github.com/dmlc/dgl/issues/1727",https://github.com/dmlc/dgl/blob/master/LICENSE is provided,There are many files related to testing.
DongjunLee/kino-bot,Y,102,537,7604,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity for May and June with 2 commits each,Issues mostly raised by author and he do answered others' questions,https://github.com/DongjunLee/quantified-self/blob/master/LICENSE.md is provided.,There are many files related to testing.
drscotthawley/panotti,N,222,307,2175,The source code of the project exists as ad-hoc scripts.,https://github.com/dmlc/dgl/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/drscotthawley/panotti/blob/master/panotti/mixup_generator.py and https://github.com/drscotthawley/panotti/blob/master/panotti/models.py,Checking https://github.com/drscotthawley/panotti/pulse/monthly there has been only 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/drscotthawley/panotti/issues/39",https://github.com/drscotthawley/panotti/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.
DSE-MSU/DeepRobust,Y,172,600,9940,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DSE-MSU/DeepRobust/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DSE-MSU/DeepRobust/issues/15 and https://github.com/DSE-MSU/DeepRobust/issues/13.",https://github.com/DSE-MSU/DeepRobust/blob/master/LICENSE is provided.,There are many files related to testing.
dsgiitr/d2l-pytorch,N,3210,187,4989,The source code of the project exists as ad-hoc scripts.,https://github.com/dsgiitr/d2l-pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/dsgiitr/d2l-pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers hardly respond to issues, as evidenced by https://github.com/dsgiitr/d2l-pytorch/issues",https://github.com/dsgiitr/d2l-pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.
dwadden/dygiepp,N,114,379,5425,The source code of the project exists as ad-hoc scripts.,https://github.com/dwadden/dygiepp/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/dwadden/dygiepp/blob/master/dygie/commands/predict_dygie.py,Checking https://github.com/dwadden/dygiepp/pulse/monthly there has been only 4 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dwadden/dygiepp/issues/13","There is no license to be found, either in the form of a license file or written as comments in the source code files.",There are many files related to testing.
